mean_reward,mean_ep_length,packet_lost,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
-14212278.0,8035.8,8,47.92422604560852,False,,,39,2b6b02e36852448b879fc46551e9d46b,2020-10-22_05-37-28,1603337848,2882.3857622146606,13842,aicon3,131.234.29.24,2882.3857622146606,0,39,0025673c,"5_gamma=0.99181,learning_rate=0.0021143,max_grad_norm=0.6029"
-23868334.0,16013.2,13,79.67046761512756,False,,,40,2b6b02e36852448b879fc46551e9d46b,2020-10-22_05-38-47,1603337927,2962.056229829788,13842,aicon3,131.234.29.24,2962.056229829788,0,40,0025673c,"5_gamma=0.99181,learning_rate=0.0021143,max_grad_norm=0.6029"
-26257716.0,20002.0,23,96.24634718894958,False,,,41,2b6b02e36852448b879fc46551e9d46b,2020-10-22_05-40-23,1603338023,3058.302577018738,13842,aicon3,131.234.29.24,3058.302577018738,0,41,0025673c,"5_gamma=0.99181,learning_rate=0.0021143,max_grad_norm=0.6029"
-14268048.0,8033.8,30,47.66309070587158,False,,,42,2b6b02e36852448b879fc46551e9d46b,2020-10-22_05-41-11,1603338071,3105.9656677246094,13842,aicon3,131.234.29.24,3105.9656677246094,0,42,0025673c,"5_gamma=0.99181,learning_rate=0.0021143,max_grad_norm=0.6029"
-7042532.0,12019.4,10,64.00772881507874,False,,,43,2b6b02e36852448b879fc46551e9d46b,2020-10-22_05-42-15,1603338135,3169.973396539688,13842,aicon3,131.234.29.24,3169.973396539688,0,43,0025673c,"5_gamma=0.99181,learning_rate=0.0021143,max_grad_norm=0.6029"
-4618940.0,8029.8,8,47.73496985435486,False,,,44,2b6b02e36852448b879fc46551e9d46b,2020-10-22_05-43-03,1603338183,3217.708366394043,13842,aicon3,131.234.29.24,3217.708366394043,0,44,0025673c,"5_gamma=0.99181,learning_rate=0.0021143,max_grad_norm=0.6029"
-11870862.0,20002.0,4,96.27944302558899,False,,,45,2b6b02e36852448b879fc46551e9d46b,2020-10-22_05-44-39,1603338279,3313.987809419632,13842,aicon3,131.234.29.24,3313.987809419632,0,45,0025673c,"5_gamma=0.99181,learning_rate=0.0021143,max_grad_norm=0.6029"
-11900736.0,20002.0,22,99.14296984672546,False,,,46,2b6b02e36852448b879fc46551e9d46b,2020-10-22_05-46-18,1603338378,3413.1307792663574,13842,aicon3,131.234.29.24,3413.1307792663574,0,46,0025673c,"5_gamma=0.99181,learning_rate=0.0021143,max_grad_norm=0.6029"
-11871930.0,20002.0,3,98.93441605567932,False,,,47,2b6b02e36852448b879fc46551e9d46b,2020-10-22_05-47-57,1603338477,3512.0651953220367,13842,aicon3,131.234.29.24,3512.0651953220367,0,47,0025673c,"5_gamma=0.99181,learning_rate=0.0021143,max_grad_norm=0.6029"
-26303242.0,20002.0,19,99.75114393234253,False,,,48,2b6b02e36852448b879fc46551e9d46b,2020-10-22_05-49-37,1603338577,3611.8163392543793,13842,aicon3,131.234.29.24,3611.8163392543793,0,48,0025673c,"5_gamma=0.99181,learning_rate=0.0021143,max_grad_norm=0.6029"
-35912912.0,20002.0,19,99.05890965461731,False,,,49,2b6b02e36852448b879fc46551e9d46b,2020-10-22_05-51-16,1603338676,3710.8752489089966,13842,aicon3,131.234.29.24,3710.8752489089966,0,49,0025673c,"5_gamma=0.99181,learning_rate=0.0021143,max_grad_norm=0.6029"
-9504816.0,12016.0,41,65.20223641395569,False,,,50,2b6b02e36852448b879fc46551e9d46b,2020-10-22_05-52-21,1603338741,3776.0774853229523,13842,aicon3,131.234.29.24,3776.0774853229523,0,50,0025673c,"5_gamma=0.99181,learning_rate=0.0021143,max_grad_norm=0.6029"
