#{"t_start": 1606835205.7834709, "env_id": "wmac-graph-v1"}
r,l,t
-1830.0,9,7.15491
-1680.0,6,7.167449
-2010.0,10,7.186207
-1830.0,7,7.197483
-1680.0,6,7.206798
-2010.0,9,7.221839
-2260.0,11,7.239594
-2250.0,12,7.261537
-1920.0,8,7.273206
-2130.0,9,7.289093
-1950.0,8,7.30442
-2322.0,15,7.330091
-1890.0,8,7.341269
-2040.0,8,7.356469
-1890.0,7,7.366816
-1950.0,8,7.381599
-1830.0,8,7.392541
-1650.0,6,7.405529
-1890.0,7,7.415972
-1740.0,9,7.432146
-2436.0,10,7.448747
-1950.0,7,7.459729
-1890,6,7.470637
-1800.0,8,7.486362
-1860.0,9,7.502117
-1680.0,7,7.514217
-1866.0,11,7.531673
-1650.0,7,7.546317
-1950.0,10,7.562587
-2196.0,9,7.578505
-1860.0,7,7.58863
-3126.0,15,7.612535
-1830.0,7,7.622582
-2160.0,8,7.637496
-1716.0,8,7.652371
-1830.0,8,7.663514
-2100.0,9,7.680186
-1660.0,8,7.694485
-2040.0,8,7.705324
-1810.0,10,7.721625
-1950.0,9,7.737522
-1710.0,8,7.752036
-1920.0,8,7.763012
-1836.0,7,7.776712
-1570.0,7,7.78658
-1800.0,8,7.801482
-1920.0,8,7.812893
-2040.0,10,7.829515
-1860.0,9,7.845127
-1770.0,7,7.855178
-2460.0,9,7.870916
-1860.0,8,7.88517
-1836.0,8,7.896056
-2040.0,9,7.911218
-1770.0,6,7.920819
-2190.0,9,7.937387
-2190.0,9,7.95328
-1890.0,7,7.963789
-1770.0,7,7.978663
-2220.0,11,7.996854
-1570,7,8.006982
-1620,5,8.015245
-2406.0,11,8.037205
-1800.0,11,8.054627
-2490.0,10,8.071318
-1890.0,8,8.083069
-2130.0,9,8.099642
-1890.0,7,8.114568
-2100.0,9,8.128305
-1860.0,9,8.144829
-2010.0,8,8.159668
-1920.0,7,8.169959
-1890.0,8,8.185715
-1980.0,9,8.202486
-1830.0,8,8.213628
-1980.0,9,8.230054
-2130.0,8,8.244427
-1860.0,6,8.253888
-1782.0,8,8.265353
-2160.0,11,8.286294
-1980.0,8,8.297286
-1710.0,6,8.306858
-2196.0,8,8.321882
-1644.0,7,8.332458
-1890.0,9,8.349004
-1890.0,9,8.365051
-1884.0,9,8.381837
-1950.0,8,8.393749
-1656.0,9,8.410119
-1920.0,9,8.426523
-1740.0,7,8.43727
-1920.0,9,8.453754
-1890.0,8,8.469211
-2220.0,10,8.485643
-2070.0,10,8.502614
-1650.0,6,8.512086
-1830.0,7,8.523135
-1830.0,7,8.538011
-2046.0,9,8.554139
-1920.0,8,8.565614
-2160.0,9,8.58093
-2130.0,7,8.59128
-1830.0,7,8.606297
-2190.0,9,8.622223
-1896.0,8,8.633971
-2130.0,10,8.650418
-2316.0,12,8.672342
-2250.0,10,8.690156
-1980.0,9,8.702461
-2280.0,10,8.719104
-2070.0,8,8.734145
-1480.0,7,8.744707
-1770.0,6,8.758614
-1980.0,9,8.770523
-1680.0,7,8.784375
-1860.0,8,8.795295
-1906.0,12,8.817277
