Time,CPU Usage (%),Hit_Miss,Squid_Memory_Usage(kb),Request_Rate/(Min),Response_Time(ms),Squid_Disk_Usage(mb),Cache_Disk_Usage(mb),Cache_Memory_Usage(kb)
2:23:02,0.06,MISS,663616,36.6,1722,223,18,1008
2:23:08,0.06,MISS,663616,36.7,1759,224,18,1012
2:23:13,0.06,MISS,663616,36.8,1684,224,18,1016
2:23:18,0.06,MISS,663616,36.9,1698,224,18,1020
2:23:23,0.06,MISS,663616,37,1724,224,18,1024
2:23:28,0.06,MISS,664016,37.1,1689,224,18,1028
2:23:34,0.06,MISS,664016,37.1,1738,224,18,1032
2:23:39,0.06,MISS,664016,37.2,1673,224,18,1036
2:23:44,0.06,MISS,664016,37.3,1755,224,18,1040
2:23:49,0.06,MISS,664016,37.4,1709,224,18,1044
2:23:54,0.06,MISS,664016,37.5,1696,224,18,1048
2:24:00,0.06,MISS,664016,37.6,1697,224,18,1052
2:24:05,0.06,MISS,664016,37.6,1719,224,18,1056
2:24:10,0.06,MISS,664016,37.7,1771,224,18,1060
2:24:15,0.06,MISS,664016,37.8,1700,224,18,1064
2:24:21,0.06,MISS,664016,37.9,1763,224,18,1068
2:24:26,0.06,MISS,664016,38,1690,224,18,1072
2:24:31,0.06,MISS,664016,38,1737,224,18,1076
2:24:36,0.06,MISS,664016,38.1,1697,224,18,1080
2:24:41,0.06,MISS,664016,38.2,1701,224,18,1084
2:24:47,0.06,MISS,664016,38.3,1714,224,18,1088
2:24:52,0.06,MISS,664416,38.4,1668,224,18,1092
2:24:57,0.06,MISS,664416,38.4,1746,224,18,1096
2:25:02,0.06,MISS,664416,38.5,1729,224,18,1100
2:25:07,0.06,MISS,664416,38.6,1715,224,18,1104
2:25:13,0.06,MISS,664416,38.7,1673,224,18,1108
2:25:18,0.06,MISS,664416,38.7,1744,224,18,1112
2:25:23,0.06,MISS,664416,38.8,1715,224,18,1116
2:25:28,0.06,MISS,664416,38.9,1702,224,18,1120
2:25:34,0.06,MISS,664416,39,1754,224,18,1124
2:25:39,0.06,MISS,664416,39,1717,224,18,1128
2:25:44,0.06,MISS,664416,39.1,1774,224,18,1132
2:25:49,0.06,MISS,664416,39.2,1686,224,18,1136
2:25:54,0.06,MISS,664416,39.3,1702,224,18,1140
2:26:00,0.06,MISS,664416,39.3,1708,224,18,1144
2:26:05,0.06,MISS,664416,39.4,1709,224,18,1148
2:26:10,0.06,MISS,664416,39.5,1731,224,18,1152
2:26:15,0.06,MISS,664816,39.6,1689,224,18,1156
2:26:21,0.06,MISS,664816,39.6,1731,224,18,1160
2:26:26,0.06,MISS,664816,39.7,1661,224,18,1164
2:26:31,0.06,MISS,664816,39.8,1728,224,18,1168
2:26:36,0.06,MISS,664816,39.8,1691,224,18,1172
2:26:41,0.06,MISS,664816,39.9,1767,224,18,1176
2:26:47,0.06,MISS,664816,40,1682,224,18,1180
2:26:52,0.06,MISS,664816,40.1,1731,224,18,1184
2:26:57,0.06,MISS,664816,40.1,1737,224,18,1188
2:27:02,0.06,MISS,664816,40.2,1678,224,18,1192
2:27:08,0.06,MISS,664816,40.3,1760,224,18,1196
2:27:13,0.06,MISS,664816,40.3,1700,224,18,1200
2:27:18,0.06,MISS,664816,40.4,1717,224,18,1204
2:27:23,0.06,MISS,664816,40.5,1706,224,18,1208
2:27:28,0.06,MISS,664816,40.5,1758,224,18,1212
2:27:34,0.06,MISS,664816,40.6,1692,224,18,1216
2:27:39,0.06,MISS,665216,40.7,1717,224,18,1220
2:27:44,0.06,MISS,665216,40.7,1739,224,18,1224
2:27:49,0.06,MISS,665216,40.8,1691,224,18,1228
2:27:55,0.06,MISS,665216,40.9,1736,224,18,1232
2:28:00,0.06,MISS,665216,40.9,1695,224,18,1236
2:28:05,0.06,MISS,665216,41,1759,224,18,1240
2:28:10,0.06,MISS,665216,41.1,1730,224,18,1244
2:28:15,0.06,MISS,665216,41.1,1728,224,18,1248
2:28:21,0.06,MISS,665216,41.2,1704,224,18,1252
2:28:26,0.06,MISS,665216,41.3,1705,224,18,1256
2:28:31,0.06,MISS,665216,41.3,1689,224,18,1260
2:28:36,0.06,MISS,665216,41.4,1712,224,18,1264
2:28:41,0.06,MISS,665216,41.4,1741,224,18,1268
2:28:47,0.06,MISS,665216,41.5,1717,224,18,1272
2:28:52,0.06,MISS,665216,41.6,1720,224,18,1276
2:28:57,0.06,MISS,665216,41.6,1674,224,18,1280
2:29:02,0.06,MISS,665616,41.7,1732,224,18,1284
2:29:08,0.06,MISS,665616,41.8,1646,224,18,1288
2:29:13,0.06,MISS,665616,41.8,1671,224,18,1292
2:29:18,0.06,MISS,665616,41.9,1713,224,18,1296
2:29:23,0.06,MISS,665616,41.9,1692,224,18,1300
2:29:28,0.06,MISS,665616,42,1749,224,18,1304
2:29:34,0.06,MISS,665616,42.1,1696,224,18,1308
2:29:39,0.06,MISS,665616,42.1,1736,224,18,1312
2:29:44,0.06,MISS,665616,42.2,1699,224,18,1316
2:29:49,0.06,MISS,665616,42.2,1732,224,18,1320
2:29:54,0.06,MISS,665616,42.3,1696,224,18,1324
2:30:00,0.06,MISS,665616,42.4,1764,224,18,1328
2:30:05,0.06,MISS,665616,42.4,1735,224,18,1332
2:30:10,0.06,MISS,665616,42.5,1700,224,18,1336
2:30:15,0.06,MISS,665616,42.5,1782,224,18,1340
2:30:21,0.06,MISS,665616,42.6,1718,224,18,1344
2:30:26,0.06,MISS,666016,42.7,1817,224,18,1348
2:30:31,0.06,MISS,666016,42.7,1703,224,18,1352
2:30:36,0.06,MISS,666016,42.8,1723,224,18,1356
