Time Cache_Disk_Usage/mb Cache_Memory_Usage/kb CPU_Usage Squid_Memory_Usage/kb
08:29:37 30 8104 240 0.07 717584
08:30:31 30 8104 240 0.07 717584
08:31:21 30 8104 240 0.07 717584
08:32:11 30 8104 240 0.07 717584
08:33:02 30 8104 240 0.07 717584
08:34:07 30 8104 240 0.07 717584
08:34:58 30 8104 240 0.07 717584
08:35:41 30 8104 240 0.07 717584
08:36:43 30 8104 240 0.07 717584
08:37:45 30 8104 240 0.07 717584
08:38:50 30 8104 240 0.07 717584
08:39:49 30 8104 240 0.07 717584
08:40:57 30 8104 240 0.07 717584
08:42:42 30 8104 240 0.07 717584
08:44:18 30 8104 240 0.07 717584
08:46:08 30 8104 240 0.07 717584
08:48:06 30 8104 240 0.07 717584
08:53:09 30 8104 240 0.07 717584
08:56:56 30 8104 240 0.07 717584
08:57:46 30 8104 240 0.07 717584
08:58:52 30 8104 240 0.07 717584
09:00:04 30 8104 240 0.07 717584
09:01:13 30 8104 240 0.07 717584
09:03:24 30 8104 240 0.07 717584
09:08:46 30 8104 240 0.07 717584
09:11:46 30 8104 240 0.07 717584
09:16:08 30 8104 240 0.07 717584
09:19:41 30 8104 240 0.07 717584
09:21:31 30 8104 240 0.07 717584
09:23:30 30 8104 240 0.07 717584
09:27:03 30 8104 240 0.07 717584
09:28:59 30 8104 240 0.07 717584
09:31:19 30 8104 240 0.07 717584
09:33:39 30 8104 240 0.07 717584
09:35:29 30 8104 240 0.07 717584
09:37:15 30 8104 240 0.07 717584
09:39:00 30 8104 240 0.07 717584
09:41:19 30 8104 240 0.07 717584
09:43:11 30 8104 240 0.07 717584
09:45:21 30 8104 240 0.07 717584
09:47:19 30 8104 240 0.07 717584
09:49:01 30 8104 240 0.07 717584
09:50:39 30 8104 240 0.07 717584
09:52:12 30 8104 240 0.07 717584
09:53:44 30 8104 240 0.07 717584
09:54:51 30 8104 240 0.07 717584
09:57:45 30 8104 240 0.07 717584
09:59:55 30 8104 240 0.07 717584
10:02:32 30 8104 240 0.07 717584
10:04:35 30 8104 240 0.07 717584
10:06:19 30 8104 240 0.07 717584
10:08:05 30 8104 240 0.07 717584
10:09:26 30 8104 240 0.07 717584
10:11:29 30 8104 240 0.07 717584
10:14:16 30 8104 240 0.07 717584
13:28:27 30 8108 240 0.06 717584
13:32:06 30 8108 240 0.06 717584
13:35:40 30 8112 240 0.06 717584
13:38:17 30 8108 240 0.06 717584
13:41:08 30 8108 240 0.06 717584
13:44:44 30 8108 240 0.07 717584
13:48:44 30 8108 240 0.07 717584
13:50:39 30 8108 240 0.07 717584
13:52:59 30 8108 240 0.07 717584
13:54:48 30 8108 240 0.07 717584
13:56:53 30 8108 240 0.07 717584
14:00:22 30 8112 240 0.07 717584
14:02:07 30 8108 240 0.07 717584
14:03:23 30 8108 240 0.07 717584
14:04:39 30 8108 240 0.07 717584
14:06:03 30 8108 240 0.07 717584
14:07:27 30 8108 240 0.07 717584
14:08:46 30 8112 241 0.07 717584
14:09:46 30 8108 241 0.07 717584
14:12:24 30 8108 241 0.07 717584
14:15:35 30 8108 241 0.07 717584
14:18:38 30 8108 241 0.07 717584
14:21:25 30 8104 241 0.07 717584
14:23:04 30 8104 241 0.07 717584
14:24:12 30 8104 241 0.07 717584
14:25:24 30 8104 241 0.07 717584
14:30:07 30 8104 241 0.07 717584
14:32:31 30 8104 241 0.07 717584
14:34:15 30 8104 241 0.07 717584
14:35:08 30 8104 241 0.07 717584
14:36:26 30 8104 241 0.07 717584
14:37:40 30 8104 241 0.07 717584
14:39:03 30 8104 241 0.07 717584
14:40:39 30 8104 241 0.07 717584
14:42:12 30 8104 241 0.07 717584
14:44:17 30 8104 241 0.07 717584
14:45:53 30 8104 241 0.07 717584
14:46:47 30 8104 241 0.07 717584
14:47:39 30 8104 241 0.07 717584
14:48:29 30 8104 241 0.07 717584
14:49:20 30 8104 241 0.07 717584
14:50:23 30 8104 241 0.07 717584
14:51:25 30 8104 241 0.07 717584
14:52:30 30 8104 241 0.07 717584
14:53:38 30 8104 241 0.07 717584
