File Time Hit_Miss  Response_Time/ns
2020110916:23:12.html 02:05:14 HIT 115602204
2020110916:23:17.html 02:05:14 MISS 154352599
2020110916:23:17.html 02:05:14 HIT 126146176
2020110916:23:22.html 02:05:14 MISS 154044199
2020110916:23:22.html 02:05:14 HIT 119999871
2020110916:23:27.html 02:05:14 MISS 191029308
2020110916:23:27.html 02:05:15 HIT 115738745
2020110916:23:32.html 02:05:15 MISS 149048614
2020110916:23:32.html 02:05:15 HIT 158609387
2020110916:23:37.html 02:05:15 MISS 142776464
2020110916:23:37.html 02:05:15 HIT 121103782
2020110916:23:42.html 02:05:15 MISS 234160436
2020110916:23:42.html 02:05:16 HIT 173781367
2020110916:23:47.html 02:05:16 MISS 165473588
2020110916:23:47.html 02:05:16 HIT 133637518
2020110916:23:52.html 02:05:16 MISS 147079094
2020110916:23:52.html 02:05:16 HIT 167471642
2020110916:23:57.html 02:05:16 MISS 143989318
2020110916:23:57.html 02:05:16 HIT 132152927
2020110916:24:02.html 02:05:17 MISS 126275488
2020110916:24:02.html 02:05:17 HIT 147261724
2020110916:24:07.html 02:05:17 MISS 253429215
2020110916:24:07.html 02:05:17 HIT 116045844
2020110916:24:12.html 02:05:17 MISS 128400964
2020110916:24:12.html 02:05:17 HIT 123226681
2020110916:24:17.html 02:05:18 MISS 186394470
2020110916:24:17.html 02:05:18 HIT 124846249
2020110916:24:22.html 02:05:18 MISS 166485970
2020110916:24:22.html 02:05:18 HIT 116042590
2020110916:24:27.html 02:05:18 MISS 132022315
2020110916:24:27.html 02:05:18 HIT 121521863
2020110916:24:32.html 02:05:18 MISS 145395454
2020110916:24:32.html 02:05:19 HIT 107988544
2020110916:24:37.html 02:05:19 MISS 121198807
2020110916:24:37.html 02:05:19 HIT 147993159
2020110916:24:42.html 02:05:19 MISS 187709013
2020110916:24:42.html 02:05:19 HIT 110552487
2020110916:24:47.html 02:05:19 MISS 117914631
2020110916:24:47.html 02:05:19 HIT 115567417
2020110916:24:52.html 02:05:20 MISS 181322173
2020110916:24:52.html 02:05:20 HIT 132389657
2020110916:24:57.html 02:05:20 MISS 139517563
2020110916:24:57.html 02:05:20 HIT 114882863
2020110916:25:02.html 02:05:20 MISS 129302112
2020110916:25:02.html 02:05:20 HIT 106394758
2020110916:25:07.html 02:05:20 MISS 131546567
2020110916:25:07.html 02:05:21 HIT 179931379
2020110916:25:12.html 02:05:21 MISS 122798356
2020110916:25:12.html 02:05:21 HIT 141775686
2020110916:25:17.html 02:05:21 MISS 157328251
2020110916:25:17.html 02:05:21 HIT 139412074
2020110916:25:22.html 02:05:21 MISS 167593175
2020110916:25:22.html 02:05:21 HIT 160975977
2020110916:25:27.html 02:05:22 MISS 125130045
2020110916:25:27.html 02:05:22 HIT 134349470
2020110916:25:32.html 02:05:22 MISS 217780131
2020110916:25:32.html 02:05:22 HIT 124021084
2020110916:25:37.html 02:05:22 MISS 204884429
2020110916:25:37.html 02:05:22 HIT 121630272
2020110916:25:42.html 02:05:23 MISS 151187294
2020110916:25:42.html 02:05:23 HIT 148723663
2020110916:25:47.html 02:05:23 MISS 212286624
2020110916:25:47.html 02:05:23 HIT 143102506
2020110916:25:52.html 02:05:23 MISS 134905929
2020110916:25:52.html 02:05:23 HIT 131349947
2020110916:25:57.html 02:05:23 MISS 127435975
2020110916:25:57.html 02:05:24 HIT 127407476
2020110916:26:02.html 02:05:24 MISS 247001537
2020110916:26:02.html 02:05:24 HIT 150071019
2020110916:26:07.html 02:05:24 MISS 232174597
2020110916:26:07.html 02:05:24 HIT 124896137
2020110916:26:12.html 02:05:25 MISS 206920289
2020110916:26:12.html 02:05:25 HIT 173945434
2020110916:26:17.html 02:05:25 MISS 184401387
2020110916:26:17.html 02:05:25 HIT 123042278
2020110916:26:22.html 02:05:25 MISS 140272897
2020110916:26:22.html 02:05:25 HIT 123600603
2020110916:26:27.html 02:05:25 MISS 129348023
2020110916:26:27.html 02:05:26 HIT 124560799
2020110916:26:32.html 02:05:26 MISS 180699279
2020110916:26:32.html 02:05:26 HIT 138203718
2020110916:26:37.html 02:05:26 MISS 162914832
2020110916:26:37.html 02:05:26 HIT 224698192
2020110916:26:42.html 02:05:26 MISS 128881180
2020110916:26:42.html 02:05:27 HIT 149560601
2020110916:26:47.html 02:05:27 MISS 205830361
2020110916:26:47.html 02:05:27 HIT 139058150
2020110916:26:52.html 02:05:27 MISS 191501674
2020110916:26:52.html 02:05:27 HIT 155507077
