CPU_Utilization Memory_Consumption Current_Time Disk_Space(mb) Brick_Space(mb) Kafka_Disk_Usage(mb) Topic_Disk_Usage(mb) Heketi_Space(mb)
1.75 1.464 07:16:46 4.9 74 397 5.3 33
1.67 1.464 07:16:50 4.9 74 397 5.3 33
1.49 1.464 07:16:54 4.9 74 397 5.3 33
1.87 1.464 07:16:58 4.9 74 397 5.3 33
1.77 1.464 07:17:02 4.9 74 397 5.4 33
1.60 1.464 07:17:06 4.9 74 397 5.4 33
1.53 1.464 07:17:10 4.9 74 397 5.4 33
1.48 1.463 07:17:14 4.9 74 397 5.4 33
1.61 1.464 07:17:18 4.9 74 397 5.5 33
1.66 1.464 07:17:22 4.9 74 397 5.5 33
1.57 1.464 07:17:26 4.9 74 397 5.5 33
1.49 1.464 07:17:30 4.9 74 397 5.5 33
1.34 1.464 07:17:34 4.9 74 397 5.6 33
1.63 1.464 07:17:38 4.9 74 397 5.6 33
1.70 1.464 07:17:42 4.9 74 397 5.6 33
2.15 1.464 07:17:46 4.9 74 397 5.6 33
1.51 1.464 07:17:50 4.9 74 397 5.7 33
1.30 1.464 07:17:54 4.9 74 397 5.7 33
1.38 1.464 07:17:58 4.9 74 397 5.7 33
1.52 1.464 07:18:02 4.9 74 397 5.7 33
1.49 1.464 07:18:06 4.9 74 397 5.8 33
1.40 1.464 07:18:10 4.9 74 397 5.8 33
1.44 1.464 07:18:14 4.9 74 397 5.8 33
1.48 1.464 07:18:18 4.9 74 397 5.8 33
1.50 1.464 07:18:22 4.9 74 397 5.9 33
1.79 1.464 07:18:26 4.9 74 397 5.9 33
1.50 1.464 07:18:30 4.9 74 397 5.9 33
1.33 1.464 07:18:34 4.9 74 397 5.9 33
1.47 1.464 07:18:38 4.9 74 397 6.0 33
1.61 1.464 07:18:42 4.9 74 397 6.0 33
1.61 1.464 07:18:46 4.9 74 397 6.0 33
1.68 1.464 07:18:50 4.9 74 397 6.0 33
1.69 1.464 07:18:54 4.9 74 397 6.1 33
1.68 1.464 07:18:58 4.9 74 397 6.1 33
1.62 1.464 07:19:02 4.9 74 398 6.1 33
1.79 1.464 07:19:06 4.9 74 398 6.1 33
1.56 1.464 07:19:11 4.9 74 398 6.2 33
1.78 1.464 07:19:15 4.9 74 398 6.2 33
1.68 1.464 07:19:19 4.9 74 398 6.2 33
1.61 1.464 07:19:23 4.9 74 398 6.2 33
1.81 1.464 07:19:27 4.9 74 398 6.3 33
1.82 1.464 07:19:31 4.9 74 398 6.3 33
1.60 1.464 07:19:35 4.9 74 398 6.3 33
1.67 1.464 07:19:39 4.9 74 398 6.3 33
1.47 1.464 07:19:43 4.9 74 398 6.4 33
1.39 1.464 07:19:47 4.9 74 398 6.4 33
1.51 1.464 07:19:51 4.9 74 398 6.4 33
1.55 1.464 07:19:55 4.9 74 398 6.4 33
1.41 1.464 07:19:59 4.9 74 398 6.5 33
1.56 1.464 07:20:03 4.9 74 398 6.5 33
1.50 1.464 07:20:07 4.9 74 398 6.5 33
1.67 1.464 07:20:11 4.9 74 398 6.5 33
1.72 1.464 07:20:15 4.9 74 398 6.6 33
1.77 1.464 07:20:19 4.9 74 398 6.6 33
1.44 1.464 07:20:23 4.9 74 398 6.6 33
1.59 1.464 07:20:27 4.9 74 398 6.6 33
1.80 1.464 07:20:31 4.9 74 398 6.7 33
1.54 1.463 07:20:35 4.9 74 398 6.7 33
1.71 1.464 07:20:39 4.9 74 398 6.7 33
1.33 1.464 07:20:43 4.9 74 398 6.7 33
1.47 1.464 07:20:47 4.9 74 398 6.8 33
1.57 1.463 07:20:51 4.9 74 398 6.8 33
1.36 1.464 07:20:54 4.9 74 398 6.8 33
1.62 1.464 07:20:58 4.9 74 398 6.8 33
1.47 1.464 07:21:02 4.9 74 398 6.9 33
1.53 1.464 07:21:06 4.9 74 398 6.9 33
1.48 1.464 07:21:10 4.9 74 398 6.9 33
1.35 1.464 07:21:14 4.9 74 398 6.9 33
